,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"@CRYPT0DIAMOND Indeed we are

#cryptotwitter #cryptocurrency

✅ Retail payments
✅ 5 years locked liquidity 
✅ Augme… https://t.co/sF28Ph6VPs",5935,6573,120615,True,91,Fri Mar 11 22:51:11 +0000 2022,"[{'text': 'cryptotwitter', 'indices': [30, 44]}, {'text': 'cryptocurrency', 'indices': [45, 60]}]",$POODL
1,Dubai has approved its first law to regulate #crypto assets. #cryptocurrency #bitcoin $BTC https://t.co/vm61RRdZj0,828,2689,2438458,True,10794,Fri Mar 11 03:02:36 +0000 2022,"[{'text': 'crypto', 'indices': [45, 52]}, {'text': 'cryptocurrency', 'indices': [61, 76]}, {'text': 'bitcoin', 'indices': [77, 85]}]",Bitcoin News
2,"It's #FEGfriday 🥳

Next 7 days is going to be wild!

🔥 UI Incoming
🔥 Dubai Crypto Expo Incoming
🔥 ... Incoming 

Le… https://t.co/esiUnBtgTQ",624,1659,395540,True,571,Fri Mar 11 17:50:10 +0000 2022,"[{'text': 'FEGfriday', 'indices': [5, 15]}]",FEG (Feed Every Gorilla)
3,JUST IN: 🇬🇧 UK’s Financial Conduct Authority has ordered all #cryptocurrency ATM operators to shut down immediately.,173,987,710242,True,1456,Fri Mar 11 12:30:58 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [61, 76]}]",Watcher.Guru
4,Dubai adopts its first crypto law to position itself and the UAE to be a key player in designing the future of… https://t.co/r13jFMp8Mq,223,711,2438458,True,10794,Fri Mar 11 12:02:38 +0000 2022,[],Bitcoin News
5,South Koreans have elected a pro-crypto president who vows to deregulate the #crypto industry. #cryptocurrency… https://t.co/uJqZKnDC3g,284,1003,2438458,True,10794,Fri Mar 11 14:32:23 +0000 2022,"[{'text': 'crypto', 'indices': [77, 84]}, {'text': 'cryptocurrency', 'indices': [95, 110]}]",Bitcoin News
6,Founders of #cryptocurrency company #Bitqyck sentenced to combined 8 yrs in prison for #TaxEvasion. “These criminal… https://t.co/5nqvjlb7er,104,237,7723,True,96,Fri Mar 11 20:36:09 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [12, 27]}, {'text': 'Bitqyck', 'indices': [36, 44]}, {'text': 'TaxEvasion', 'indices': [87, 98]}]",IRS Criminal Investigation
7,"📢 “Be Smart With BitMart” Issue 001 is here! 🤨

📈Learn various crypto tips,  snippets of crypto wisdom and general… https://t.co/DqY5bNOOsf",18,58,394811,True,688,Fri Mar 11 20:36:57 +0000 2022,[],BitMart.Exchange
8,What is MiniDoge? MiniDoge is a deflationary meme token that has built into a full fledged ecosystem built for Web… https://t.co/8qugKS94V9,27,82,98324,True,53,Fri Mar 11 15:25:14 +0000 2022,[],MiniDOGE
9,"COMING SOON!! An open world blockchain adventure game, explore Doge City and play with friends. Earn NFT's, play to… https://t.co/rSLRmuTAqI",35,88,98324,True,53,Fri Mar 11 23:10:04 +0000 2022,[],MiniDOGE
